,TICKER,COMPANY NAME,INSIDER,POSITION,DATE,SHARES,TRANS. PRICE,MKT VALUE,RANK,next_day_high_price,next_2day_high_price,next_3day_high_price,high_avg,high_diff,next_day_low_price,next_2day_low_price,next_3day_low_price,low_avg,low_diff
225,IDN,Intelli Check-Mobilisa,Ishmael Jeffrey,CFO,2022-06-23,4513,1.77,8188,2.74,1.9500000476837158,2.0899999141693115,2.0999999046325684,2.0466666221618652,0.13517913428891812,1.7599999904632568,1.9700000286102295,2.009999990463257,1.9133333365122478,0.07491289352305197
226,STIM,Neuronetics Inc,Cannell Capital Llc,10% Owner,2022-06-16,2576,3.09,7960,1.5,3.4500000476837163,,3.4100000858306885,3.4300000667572017,0.09912538196497643,3.0899999141693115,,3.190000057220459,3.1399999856948853,0.015923562395755982
227,SMMF,Summit Financial Group Inc,Upson Jill S,Director,2022-06-22,250,27.52,6880,2.39,28.399999618530273,28.940000534057617,29.0,28.78000005086263,0.04378040474759705,27.959999084472656,28.06999969482422,28.270000457763672,28.099999745686848,0.020640560531530756
228,CBKM,Consumers Bancorp Inc /oh/,Mcclellan Laurie L,Director,2022-06-23,355,19.0,6745,2.39,19.0,19.0,19.0,19.0,0.0,19.0,19.0,19.0,19.0,0.0
229,CAC,Camden National Corp,Sterrs Lawrence J,Director,2022-06-17,142,44.45,6312,2.39,,45.18999862670898,45.38999938964844,45.28999900817871,0.01854711915597562,,44.2599983215332,44.66999816894531,44.46499824523926,0.0003373045278565999
230,BBT,Truist Financial Corp,Ratcliffe David M,,2022-06-22,132,47.0,6203,0.01,,,,,,,,,,
231,BKE,Buckle Inc,Fairfield Bill L,Director,2022-06-16,200,28.88,5776,2.39,29.71999931335449,,30.3799991607666,30.04999923706055,0.038935083752600984,28.8799991607666,,29.43000030517578,29.15499973297119,0.009432335293771145
232,PRAX,"Praxis Precision Medicines, Inc.",Mastrocola Lauren,Principal Accounting Officer,2022-06-16,3000,1.93,5775,2.74,2.1300001144409184,,2.1600000858306885,2.1450001001358032,0.10023314223723873,1.9099999666213991,,2.039999961853028,1.9749999642372127,0.022784792431423225
233,KFS,Kingsway Financial Services Inc (USA),"Stilwell Value Partners Vii, L.p.",10% Owner,2022-06-17,1056,5.3,5597,1.5,,5.349999904632568,5.309999942779541,5.329999923706055,0.005628503590145518,,5.150000095367432,5.150000095367432,5.150000095367432,-0.02912619453492773
234,SEAC,Seachange International Inc,Singer Karen,10% Owner,2022-06-22,10201,0.55,5561,1.5,0.5799999833106995,0.6000000238418579,0.6200000047683716,0.600000003973643,0.08333333940417662,0.550000011920929,0.5799999833106995,0.5899999737739563,0.5733333230018616,0.04069765713196783
235,MACK,Merrimack Pharmaceuticals Inc,"Ledo Capital, Llc",See Remarks,2022-06-17,900,5.97,5372,0.01,,6.4000000953674325,6.260000228881836,6.330000162124634,0.05687206207018512,,6.079999923706055,5.840000152587893,5.960000038146973,-0.0016778459377554279
236,BFGC,Bullfrog Gold Corp.,Warke Richard W,Director,2022-06-23,4000,1.32,5305,3.84,,,,,,,,,,
237,TPHS,Trinity Place Holdings Inc,Messinger Matthew,President and CEO,2022-06-21,4900,1.02,5018,2.81,1.1299999952316284,1.0800000429153442,1.100000023841858,1.1033333539962769,0.07552871821960531,0.9998999834060668,1.0299999713897705,1.0099999904632568,1.0132999817530317,-0.0066120777337598975
238,MEGI,Mainstay Cbre Global Infrastructure Megatrends Fund,Smith Joseph P,Portfolio Manager,2022-06-22,332,15.09,5010,2.44,15.644000053405762,15.609999656677246,15.8100004196167,15.688000043233236,0.038118309637000164,14.800000190734863,15.130000114440918,15.350000381469727,15.09333356221517,0.00022086321762047876
239,CBKM,Consumers Bancorp Inc /oh/,Wood Renee,EVP & Chief Financial Officer,2022-06-22,250,19.7,4925,2.66,19.5,19.0,19.0,19.166666666666668,-0.02782608695652164,18.25,19.0,19.0,18.75,-0.05066666666666663
240,STIM,Neuronetics Inc,Cannell Capital Llc,10% Owner,2022-06-15,1364,3.57,4869,1.42,3.490000009536743,3.4500000476837163,,3.470000028610228,-0.02881843532140297,3.0699999332427983,3.0899999141693115,,3.0799999237060547,-0.1590909378024742
241,EDSA,Edesa Biotech,Brooks Michael J,President,2022-06-16,3000,1.61,4817,0.01,1.7300000190734863,,1.7000000476837158,1.7150000333786009,0.06122450806706271,1.6200000047683716,,1.6200000047683716,1.6200000047683716,0.006172842431442641
242,MCHX,Marchex Inc,Brolin Jonathan,10% Owner,2022-06-23,3782,1.25,4728,1.42,1.4199999570846558,1.340000033378601,1.409999966621399,1.3899999856948853,0.10071941520553097,1.2300000190734863,1.2599999904632568,1.350000023841858,1.2800000111262004,0.023437508488617198
243,FRAF,Franklin Financial Services Corp /pa/,Hollar Mark R,CFO,2022-06-22,153,29.85,4567,2.66,30.65999984741211,30.059999465942383,30.549999237060547,30.423332850138348,0.01884516903399487,29.260000228881836,29.299999237060547,29.579999923706055,29.37999979654948,-0.015997284094798395
244,ASRV,Ameriserv Financial Inc,Kunkle Kim W,Director,2022-06-21,1143,3.93,4492,2.31,4.0300002098083505,4.019999980926514,3.9700000286102295,4.006666739781696,0.01913479327354146,3.9700000286102295,3.920000076293945,3.9300000667572017,3.940000057220459,0.0025380855520884273
245,RSSS,Research Solutions Inc,Olivier Roy W,CEO & President,2022-06-21,2302,1.9,4374,2.73,1.8400000333786009,1.830000042915344,1.7999999523162842,1.8233333428700764,-0.042047526542373134,1.7999999523162842,1.7699999809265137,1.75,1.7733333110809326,-0.07142858487322826
246,MPAA,Motorcar Parts & Accessories Inc,Bryan David,,2022-06-21,300,13.29,3987,0.01,13.710000038146973,13.720000267028807,13.4399995803833,13.62333329518636,0.024467822078766976,12.850000381469727,12.890000343322756,12.949999809265135,12.896666844685875,-0.030498822684265955
247,CUBA,Herzfeld Caribbean,Gondor Cecilia L,Director,2022-06-17,1000,3.85,3850,2.31,,4.110000133514403,4.099999904632568,4.105000019073486,0.06211937098383756,,3.890000104904175,3.990000009536743,3.940000057220459,0.022842653785124813
248,GUG,Guggenheim Active Allocation Fund,Barnes Randall C,TRUSTEE,2022-06-21,275,13.92,3828,0.01,14.140000343322756,14.119999885559082,14.15999984741211,14.140000025431313,0.01555870049756976,13.744000434875488,13.670000076293945,13.93000030517578,13.781333605448403,-0.01006189956077794
249,STIM,Neuronetics Inc,Cannell Capital Llc,10% Owner,2022-06-17,1130,3.37,3808,1.42,,3.4100000858306885,3.740000009536743,3.5750000476837163,0.05734266991591725,,3.190000057220459,3.259999990463257,3.225000023841858,-0.044961232584862905
250,IDN,Intelli Check-Mobilisa,Smith Guy L,Director,2022-06-17,2000,1.72,3450,2.31,,1.7899999618530271,1.7799999713897705,1.7849999666213991,0.03641454780776785,,1.6799999475479126,1.7100000381469729,1.6949999928474426,-0.014749266818909925
251,IDN,Intelli Check-Mobilisa,Smith Guy L,Director,2022-06-16,2000,1.7,3408,2.31,1.7599999904632568,,1.7899999618530271,1.7749999761581419,0.04225350826227847,1.7000000476837158,,1.6799999475479126,1.6899999976158142,-0.005917161182422106
252,DFBHU,DFB Healthcare Acquisitions Corp,Ebbel Matthew,Director,2022-06-17,200,17.0,3399,2.31,,,,,,,,,,
253,GBS,Gbs Inc.,Sakiris Spiro Kevin,Chief Financial Officer,2022-06-22,5000,0.65,3249,2.66,0.800000011920929,0.8199999928474426,0.7860000133514404,0.8020000060399374,0.18952619064240778,0.7200000286102295,0.7390000224113464,0.7099999785423279,0.7230000098546346,0.10096820035910083
254,EMA,Emagin Corp,Koch Mark A,CFO,2022-06-17,5000,0.62,3087,2.66,,,,,,,,,,
255,OGEN,Oragenics Inc,Telling Fred,Director,2022-06-17,10084,0.29,2884,2.31,,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.06451613622699147,,0.2899999916553497,0.2800000011920929,0.2849999964237213,-0.01754387241761559
256,MACK,Merrimack Pharmaceuticals Inc,"Ledo Capital, Llc",See Remarks,2022-06-16,520,5.45,2833,0.01,6.440000057220459,,6.4000000953674325,6.420000076293945,0.15109035276739347,5.449999809265137,,6.079999923706055,5.764999866485598,0.054640047490169805
257,QRHC,Quest Resource Holding Corp,Hampstead Park Environmental Services Investment F,10% Owner,2022-06-21,764,3.71,2833,1.42,4.079999923706056,3.990000009536743,4.0300002098083505,4.033333381017049,0.0801653001308602,3.880000114440918,3.900000095367432,3.9300000667572017,3.9033334255218506,0.04953033841734983
258,SMMF,Summit Financial Group Inc,Upson Jill S,Director,2022-06-17,100,27.39,2739,2.1,,27.790000915527344,27.959999084472656,27.875,0.017399103139013432,,27.25,27.520000457763672,27.38500022888184,-0.00018257334586002958
259,GTIM,Good Times Restaurants Inc,Zink Ryan M,CEO and Director,2022-06-17,1000,2.7,2700,0.01,,3.009999990463257,2.7699999809265137,2.8899999856948853,0.06574394001223519,,2.5999999046325684,2.619999885559082,2.609999895095825,-0.03448280019983321
260,ACNB,ACNB Corp,Helt James,President & CEO,2022-06-15,74,33.57,2500,2.73,34.59000015258789,35.41999816894531,,35.0049991607666,0.040994120701906486,33.080001831054695,33.830001831054695,,33.455001831054695,-0.003437398375466997
261,QRHC,Quest Resource Holding Corp,Miller Ronald L. Jr.,Director,2022-06-21,630,3.91,2463,2.31,4.079999923706056,3.990000009536743,4.0300002098083505,4.033333381017049,0.030578523857591182,3.880000114440918,3.900000095367432,3.9300000667572017,3.9033334255218506,-0.001707918271741871
262,ANTX,An2 Therapeutics Ord Shs,Shah Rajeev M.,10% Owner,2022-06-21,302,7.99,2413,1.42,8.590000152587889,9.15999984741211,9.859999656677246,9.203333218892416,0.13183628040346404,7.96999979019165,8.204999923706055,8.409999847412111,8.194999853769938,0.025015235805725056
263,BBDC,Barings BDC Inc,Byers Stephen R,Director,2022-06-17,236,9.27,2188,2.31,,9.5,9.399999618530273,9.449999809265137,0.019047599248484485,,9.31999969482422,9.270000457763672,9.295000076293944,0.0026896262602198536
264,IDN,Intelli Check-Mobilisa,Lewis Bryan,CEO,2022-06-21,1250,1.71,2138,2.73,1.7799999713897705,1.830000042915344,1.950000047683716,1.8533333539962769,0.07733813978322479,1.7100000381469729,1.7200000286102295,1.7599999904632568,1.7300000190734863,0.011560704539296777
265,ASRV,Ameriserv Financial Inc,Kunkle Kim W,Director,2022-06-17,538,3.93,2114,2.31,,3.9700000286102295,4.0300002098083505,4.0000001192092896,0.017500029280780833,,3.900000095367432,3.9700000286102295,3.935000061988831,0.0012706637636755898
266,QRHC,Quest Resource Holding Corp,Miller Ronald L. Jr.,Director,2022-06-22,500,3.94,1968,2.31,3.990000009536743,4.03000020980835,4.070000171661377,4.03000013033549,0.022332537822523077,3.9000000953674316,3.930000066757202,3.950000047683716,3.926666736602783,-0.003395567867506939
267,QRHC,Quest Resource Holding Corp,Miller Ronald L. Jr.,Director,2022-06-23,495,3.96,1959,2.31,4.03000020980835,4.070000171661377,4.230000019073486,4.110000133514404,0.03649638166462571,3.930000066757202,3.950000047683716,3.9000000953674316,3.926666736602783,-0.008488946384600887
268,DSS,DSS Inc,Wu William Wai Leung,Director,2022-06-16,5000,0.38,1900,2.02,0.4099999964237213,,0.3790000081062317,0.3945000022649765,0.03675539209563092,0.36000001430511475,,0.36000001430511475,0.36000001430511475,-0.055555513611547945
269,DSS,DSS Inc,Wu William Wai Leung,Director,2022-06-17,5000,0.38,1888,2.02,,0.3790000081062317,0.4000000059604645,0.3895000070333481,0.024390261519391214,,0.36000001430511475,0.3619999885559082,0.3610000014305115,-0.05263157477617302
270,FRST,Primis Financial Corp,Kabbash Charles A,Director,2022-06-17,130,13.51,1761,2.02,,13.31999969482422,13.449999809265135,13.384999752044678,-0.009338830800966369,,13.06999969482422,13.149999618530273,13.109999656677244,-0.03051108724621695
271,FKYS,First Keystone Corp,Jezewski Michael L,Director,2022-06-22,73,23.47,1713,2.31,23.25,23.25,22.5,23.0,-0.020434782608695603,23.0,23.25,22.299999237060547,22.849999745686848,-0.02713349064391924
272,KFS,Kingsway Financial Services Inc (USA),"Stilwell Value Partners Vii, L.p.",10% Owner,2022-06-22,308,5.15,1586,1.42,5.389999866485596,5.360000133514404,5.510000228881836,5.420000076293945,0.0498155115301334,5.179999828338623,5.309999942779541,5.389999866485596,5.293333212534587,0.02707806343934181
273,RCG,"RENN Global Entrepreneurs Fund, Inc",Stahl Murray,President and CEO,2022-06-17,675,2.29,1546,2.58,,2.289999961853028,2.25,2.2699999809265137,-0.008810581163671746,,2.25,2.25,2.25,-0.0177777777777778
274,RCG,"RENN Global Entrepreneurs Fund, Inc",Stahl Murray,President and CEO,2022-06-23,675,2.29,1546,2.58,2.2899999618530273,2.2899999618530273,2.289900064468384,2.289966662724813,-1.4557974021942406e-05,2.25,2.190000057220459,2.059999942779541,2.1666666666666665,-0.056923076923077014
275,RCG,"RENN Global Entrepreneurs Fund, Inc",Stahl Murray,President and CEO,2022-06-21,675,2.29,1546,2.58,2.25,2.289999961853028,2.289999961853028,2.276666641235352,-0.005856526609189303,2.25,2.25,2.25,2.25,-0.0177777777777778
276,RCG,"RENN Global Entrepreneurs Fund, Inc",Stahl Murray,President and CEO,2022-06-22,675,2.25,1515,2.58,2.2899999618530273,2.2899999618530273,2.2899999618530273,2.2899999618530273,0.017467232541200604,2.25,2.25,2.190000057220459,2.2300000190734863,-0.00896860123562833
277,PTCI,Point Capital Inc,Weisblum Eric,"CEO, CFO and President",2022-06-17,13080,0.11,1500,2.73,,,,,,,,,,
278,CRTD,"Creatd, Inc",Frommer Jeremy,Executive Chairman,2022-06-23,1807,0.77,1399,2.73,0.7829999923706055,0.9300000071525574,0.8999999761581421,0.8709999918937683,0.11595865996986918,0.7390000224113464,0.7400000095367432,0.8009999990463257,0.7600000103314718,-0.013157880963931504
279,YORW,York Water Co,Rasmussen Steven R,Director,2022-06-21,26,38.63,1000,2.31,39.27000045776367,39.81999969482422,40.27999877929688,39.78999964396159,0.02915304484396048,38.09000015258789,39.060001373291016,39.599998474121094,38.91666666666666,0.0073661670235544785
280,ACNB,ACNB Corp,Stone Thomas R,ACNB Bank EVP,2022-06-15,30,33.57,1000,2.36,34.59000015258789,35.41999816894531,,35.0049991607666,0.040994120701906486,33.080001831054695,33.830001831054695,,33.455001831054695,-0.003437398375466997
281,SYMC,Symantec Corp,Feld Peter A,Director,2022-06-13,1400000,22.38,31332420,2.1,,,,,,,,,,
282,CVNA,Carvana Co.,"Verde Investments, Inc.",10% Owner,2022-06-13,1191468,20.5,24625421,1.5,22.32999992370605,25.420000076293945,23.690000534057607,23.81333351135254,0.13913774439739704,20.23500061035156,21.6200008392334,20.84000015258789,20.89833386739095,0.01906055621077506
283,CVNA,Carvana Co.,"Verde Investments, Inc.",10% Owner,2022-06-10,793790,21.95,17421389,1.5,21.450000762939453,22.32999992370605,25.420000076293945,23.06666692097981,0.04841041511568262,19.799999237060547,20.23500061035156,21.6200008392334,20.551666895548504,-0.06803988754578222
284,NN,Nextnav Inc.,"Wocap Global Opportunity Investment Partners, L.p.",10% Owner,2022-06-10,4000000,4.0,16000000,1.5,2.390000104904175,2.4600000381469727,2.5899999141693115,2.4800000190734863,-0.6129032134017389,2.1300001144409184,2.315000057220459,2.3499999046325684,2.265000025431315,-0.7660043951824219
285,IVZ,Invesco Plc (ADR),Massachusetts Mutual Life Insurance Co,,2022-06-14,827590,16.21,13412668,0.01,16.739999771118164,16.139999389648438,16.370000839233402,16.416666666666668,0.012588832487309664,16.120000839233402,15.68000030517578,15.850000381469727,15.883333841959633,-0.020566599008162826
286,IVZ,Invesco Plc (ADR),Massachusetts Mutual Life Insurance Co,,2022-06-13,827590,16.08,13306240,0.01,16.379999160766598,16.739999771118164,16.139999389648438,16.41999944051107,0.02070642217393924,15.850000381469727,16.120000839233402,15.68000030517578,15.883333841959633,-0.01238191931223045
287,NGM,Ngm Biopharmaceuticals Inc,"Tcg Iv Gp, Llc",10% Owner,2022-06-09,984161,13.5,13286174,1.5,13.085000038146973,13.010000228881836,12.699999809265135,12.931666692097984,-0.04394896044214495,12.5,12.125,12.25,12.291666666666664,-0.09830508474576276
288,NGM,Ngm Biopharmaceuticals Inc,"Column Group Ii Gp, Lp",General Partner,2022-06-09,984161,13.5,13286174,1.5,13.085000038146973,13.010000228881836,12.699999809265135,12.931666692097984,-0.04394896044214495,12.5,12.125,12.25,12.291666666666664,-0.09830508474576276
289,NGM,Ngm Biopharmaceuticals Inc,Goeddel David V,Director,2022-06-09,984161,13.5,13286174,2.25,13.085000038146973,13.010000228881836,12.699999809265135,12.931666692097984,-0.04394896044214495,12.5,12.125,12.25,12.291666666666664,-0.09830508474576276
290,SYMC,Symantec Corp,Feld Peter A,Director,2022-06-14,600000,22.02,13211280,2.1,,,,,,,,,,
291,SYMC,Symantec Corp,Feld Peter A,Director,2022-06-15,500000,22.03,11017200,2.1,,,,,,,,,,
292,AMEH,Apollo Medical Holdings Inc,"Allied Physicians Of California, A Profession Medi",10% Owner,2022-06-17,250000,37.0,9250000,2.45,,37.63999938964844,38.36999893188477,38.0049991607666,0.02644386746373315,,35.290000915527344,35.7400016784668,35.51500129699707,-0.041813280269498175
293,CHWY,"Chewy, Inc.",Star James A,Director,2022-06-13,181478,26.92,4980016,2.1,27.979999542236328,30.01000022888184,29.020000457763672,29.00333340962728,0.071830826484784,26.46999931335449,27.1299991607666,27.795000076293945,27.13166618347168,0.0078014443359406644
294,SMDM,Singing Machine Co Inc,Digital Power Corp,,2022-06-10,687400,4.73,3945948,0.01,7.489999771118164,6.949999809265138,7.050000190734862,7.163333257039387,0.33969287337681203,5.349999904632568,5.78000020980835,5.610000133514403,5.5800000826517735,0.15232976165975787
295,FGF,"1347 Property Insurance Holdings, Inc.","Ballantyne Strong, Inc.",10% Owner,2022-06-16,1898733,1.58,2999998,1.5,1.9299999475479128,,1.6599999666213991,1.7949999570846558,0.11977713772976754,1.5,,1.5299999713897705,1.5149999856948853,-0.04290430027647905
296,RPTX,Repare Therapeutics Inc.,Lampert Mark N,10% Owner,2022-06-13,149161,12.73,1898820,2.45,13.739999771118164,14.229999542236328,13.579999923706055,13.849999745686851,0.08086640911568523,12.81999969482422,13.239999771118164,12.539999961853027,12.866666475931805,0.010621746991534184
297,UAL,United Continental Holding,Shapiro Edward,Director,2022-06-13,50000,37.69,1884465,2.39,37.7599983215332,38.81999969482422,36.59000015258789,37.72333272298177,0.0008836102373709029,36.04999923706055,37.099998474121094,34.34999847412109,35.83333206176758,-0.05181399081257626
298,DFBHU,DFB Healthcare Acquisitions Corp,Ebbel Matthew,Director,2022-06-13,100000,17.22,1722010,2.39,,,,,,,,,,
299,PLYA,Playa Hotels & Resorts N.v.,Sagicor Financial Corp Ltd,Director,2022-06-13,200000,7.54,1508000,2.1,7.639999866485598,7.789999961853027,7.519999980926514,7.649999936421713,0.014379076775935815,7.28000020980835,7.510000228881836,7.099999904632568,7.296666781107586,-0.033348544779713614
300,CWAN,"Clearwater Analytics Holdings, Inc.",Durable Capital Partners Lp,10% Owner,2022-06-10,110165,13.59,1498890,1.5,13.460000038146973,13.3100004196167,13.380000114440918,13.383333524068195,-0.015442077682674474,12.93000030517578,12.329999923706055,12.510000228881836,12.59000015258789,-0.07942810447119478
301,SMDM,Singing Machine Co Inc,Digital Power Corp,,2022-06-09,352400,3.96,1395539,0.01,8.199999809265138,7.489999771118164,6.949999809265138,7.5466664632161455,0.4752650035215183,4.079999923706056,5.349999904632568,5.78000020980835,5.070000012715657,0.21893491320152966
302,VCSA,"Vacasa, Inc.",Peterson Karl Mr.,Director,2022-06-15,500000,2.77,1385600,2.1,2.6700000762939453,3.005000114440918,,2.837500095367432,0.023788579065647908,2.5299999713897705,2.5999999046325684,,2.564999938011169,-0.07992205338912484
303,NLY,Annaly Capital Management Inc,Finkelstein David L,CEO and President,2022-06-17,200000,5.56,1112000,2.81,,6.010000228881836,6.03000020980835,6.020000219345093,0.07641199378480022,,5.869999885559082,5.860000133514402,5.865000009536742,0.05200341160115948
304,MMS,Maximus Inc,Haley John J,Director,2022-06-15,18000,60.32,1085760,2.39,60.43000030517578,60.09000015258789,,60.26000022888184,-0.0009956815614050934,58.7400016784668,58.81000137329102,,58.7750015258789,-0.026286659872579055
305,CWH,"Camping World Holdings, Inc.","Ml Rv Group, Llc",10% Owner,2022-06-10,38350,26.36,1011094,1.5,26.68000030517578,25.989999771118164,25.88999938964844,26.18666648864746,-0.00661915144593462,25.1200008392334,25.09000015258789,24.290000915527344,24.83333396911621,-0.061476482891198385
306,MGM,MGM Resorts International,Salem Paul J,Director,2022-06-13,34500,28.92,997695,2.39,29.70000076293945,30.6200008392334,29.209999084472656,29.84333356221517,0.030939357370726325,28.53000068664551,29.520000457763672,27.20000076293945,28.41666730244955,-0.017712587200789408
307,MP,Mp Materials Ord Shs Class A,Weisenburger Randall J,Director,2022-06-16,30000,33.25,997500,2.39,33.898998260498054,,34.47999954223633,34.189498901367195,0.02747916557880929,32.630001068115234,,33.40999984741211,33.02000045776367,-0.006965461509624254
308,VCYT,"Veracyte, Inc.",Stapley Marc,Chief Executive Officer,2022-06-10,60000,16.33,980094,2.81,16.489999771118164,16.680000305175778,18.545000076293945,17.238333384195965,0.052692645161899636,15.619999885559082,15.510000228881836,16.270000457763672,15.800000190734865,-0.03354429132070058
309,LGF.A,Lions Gate Entertainment Corp,Crawford Gordon,Director,2022-06-14,107305,8.76,940421,2.39,,,,,,,,,,
310,NN,Nextnav Inc.,"Wocap Global Opportunity Investment Partners, L.p.",10% Owner,2022-06-16,303929,2.92,888780,2.45,2.924999952316284,,3.0,2.962499976158142,0.014345983628751753,2.6500000953674316,,2.259999990463257,2.4550000429153442,-0.1894093478436205
311,FOUR,"Shift4 Payments, Inc.",Isaacman Jared,Chairman & CEO,2022-06-16,27728,31.6,876205,3.23,33.47999954223633,,34.59999847412109,34.03999900817871,0.07168034897981215,30.239999771118164,,31.43000030517578,30.83500003814697,-0.02480946849056665
312,CWAN,"Clearwater Analytics Holdings, Inc.",Durable Capital Partners Lp,10% Owner,2022-06-09,52317,13.8,723871,1.5,13.989999771118164,13.460000038146973,13.3100004196167,13.586666742960613,-0.015701662598732645,13.199999809265135,12.93000030517578,12.329999923706055,12.82000001271566,-0.07644305665462706
313,SMDM,Singing Machine Co Inc,Digital Power Corp,,2022-06-13,120000,5.99,720894,0.01,6.949999809265138,7.050000190734862,6.849999904632568,6.949999968210857,0.13812949246070136,5.78000020980835,5.610000133514403,6.139999866485598,5.843333403269451,-0.025099816595864168
314,LGF.A,Lions Gate Entertainment Corp,Crawford Gordon,Director,2022-06-09,72748,9.68,703910,2.39,,,,,,,,,,
315,RIGL,Rigel Pharmaceuticals Inc,Rodriguez Raul R,"CEO, President",2022-06-09,1000000,0.69,688400,2.81,0.7099999785423279,0.7200000286102295,0.7599999904632568,0.7299999992052714,0.05479451951892903,0.6700000166893005,0.6399999856948853,0.699999988079071,0.6699999968210856,-0.02985075115493635
316,PACEU,Tpg Pace Tech Opportunities Corp.,Cohn Charles K.,Chief Executive Officer,2022-06-15,209360,3.14,657390,2.64,,,,,,,,,,
317,LGF.A,Lions Gate Entertainment Corp,Crawford Gordon,Director,2022-06-13,74216,8.53,632840,2.39,,,,,,,,,,
318,SSTK,"Shutterstock, Inc.",Hennessy Paul J.,,2022-06-10,10000,56.47,564700,0.01,55.459999084472656,54.47999954223633,56.22999954223633,55.38999938964844,-0.019498115584984054,52.459999084472656,52.63999938964844,53.959999084472656,53.01999918619792,-0.06506980133451573
319,LGF.A,Lions Gate Entertainment Corp,Crawford Gordon,Director,2022-06-10,59635,9.12,544110,2.39,,,,,,,,,,
320,JYNT,Joint Corp,Gramm Jefferson,10% Owner,2022-06-14,38132,13.71,522862,1.5,14.170000076293945,13.729999542236328,13.800000190734865,13.899999936421715,0.013669060236745858,13.404999732971193,13.100000381469727,13.199999809265135,13.234999974568687,-0.035889688427959
321,CPSS,Consumer Portfolio Services Inc,Deckoff Stephen H,10% Owner,2022-06-13,50000,10.35,517275,1.5,10.829999923706056,11.149999618530273,10.619999885559082,10.866666475931805,0.047545995552191606,10.300000190734863,10.1899995803833,10.130000114440918,10.206666628519693,-0.014043112868975357
322,ATEC,"Alphatec Holdings, Inc.",Segal Paul,,2022-06-09,71129,7.18,510706,0.01,7.460000038146973,7.53000020980835,7.400000095367432,7.46333344777425,0.03796339125900214,7.0,7.130000114440918,6.829999923706055,6.986666679382324,-0.027671753854839352
323,LAWS,Lawson Products Incde,"Lkcm Micro-Cap Partnership, L.p.",10% Owner,2022-06-15,10000,51.0,510000,1.5,54.09000015258789,55.959999084472656,,55.02499961853027,0.07314856240680119,47.9286994934082,53.84500122070313,,50.88685035705566,-0.002223553671536036
324,VST,Vistra Energy Corp,Burke James A,President and CFO,2022-06-14,22000,22.76,505068,1.99,23.90999984741211,23.31999969482422,22.73500061035156,23.321666717529297,0.0240834724349752,23.10000038146973,22.280000686645508,21.84000015258789,22.406667073567704,-0.01576909788824005
325,MMS,Maximus Inc,Caswell Bruce,CEO & President,2022-06-15,8300,60.32,500656,2.74,60.43000030517578,60.09000015258789,,60.26000022888184,-0.0009956815614050934,58.7400016784668,58.81000137329102,,58.7750015258789,-0.026286659872579055
326,ANTX,An2 Therapeutics Ord Shs,Shah Rajeev M.,10% Owner,2022-06-14,61424,7.97,489402,1.5,9.484999656677246,10.164999961853027,11.015000343322754,10.22166665395101,0.2202837101012942,8.199999809265138,8.649999618530272,8.510000228881836,8.453333218892416,0.057176643387511474
327,PACEU,Tpg Pace Tech Opportunities Corp.,Cohn Charles K.,Chief Executive Officer,2022-06-09,150000,3.2,480000,2.64,,,,,,,,,,
328,CVNA,Carvana Co.,Keeton Ryan S.,Chief Brand Officer,2022-06-09,20000,23.74,474800,2.74,23.739999771118164,21.450000762939453,22.32999992370605,22.506666819254562,-0.054798571047860255,21.61000061035156,19.799999237060547,20.23500061035156,20.548333485921226,-0.15532483528484484
329,MGPI,MGP Ingredients Inc,"Luxco 2017 Irrevocable Trust Dated June 19, 2017",,2022-06-15,5000,93.22,466844,0.01,93.83000183105469,93.25,,93.54000091552734,0.0034210061192572186,91.12999725341795,91.16000366210938,,91.14500045776369,-0.02276591729458464
330,MGPI,MGP Ingredients Inc,Lux Donn S.,,2022-06-15,5000,93.22,466844,0.01,93.83000183105469,93.25,,93.54000091552734,0.0034210061192572186,91.12999725341795,91.16000366210938,,91.14500045776369,-0.02276591729458464
331,NN,Nextnav Inc.,"Wocap Global Opportunity Investment Partners, L.p.",10% Owner,2022-06-13,200000,2.32,463940,2.45,2.4600000381469727,2.5899999141693115,3.0999999046325684,2.7166666189829507,0.14601225494921144,2.315000057220459,2.3499999046325684,2.549999952316284,2.4049999713897705,0.035343023867335836
332,VST,Vistra Energy Corp,Helm Scott B,Director,2022-06-14,20000,23.16,463160,2.39,23.90999984741211,23.31999969482422,22.73500061035156,23.321666717529297,0.006932039613094332,23.10000038146973,22.280000686645508,21.84000015258789,22.406667073567704,-0.03362092737660976
333,VFC,VF Corp,Carucci Richard,Director,2022-06-14,10000,45.39,453858,2.39,47.11999893188477,45.77999877929688,46.04999923706055,46.31666564941406,0.020007175309818204,45.95000076293945,44.18000030517578,44.43999862670898,44.856666564941406,-0.011889725115584743
334,ABCL,Abcellera Biologics Inc.,Thermopylae Holdings Ltd.,10% Owner,2022-06-13,54915,8.03,441066,2.45,9.0,9.562000274658203,9.390000343322754,9.317333539326986,0.13816544549933266,8.045000076293945,8.789999961853027,8.890000343322754,8.575000127156576,0.06355686519823946
335,MTW,Manitowoc Co Inc,Krueger Kenneth W,Director,2022-06-10,34500,12.49,431036,2.39,12.140000343322756,12.270000457763672,12.40999984741211,12.273333549499512,-0.01765343128878982,11.5600004196167,11.90999984741211,11.760000228881836,11.74333349863688,-0.06358215931190146
